movie,actor,rank,studio,bday,male,release_date,production_budget,domestic_gross,worldwide_gross
Mad Max: Fury Road,Tom Hardy,4,WB,1977-09-15,1.0,2015-05-15,150000000.0,153636354.0,373136354.0
Mad Money,Diane Keaton,24,Over.,1946-01-05,0.0,2008-01-18,22000000.0,20668843.0,25044057.0
Mad Money,Katie Holmes,11,Over.,1978-12-18,0.0,2008-01-18,22000000.0,20668843.0,25044057.0
Mad Money,Queen Latifah,25,Over.,1970-03-18,0.0,2008-01-18,22000000.0,20668843.0,25044057.0
Madagascar,Ben Stiller,5,DW,1965-11-30,1.0,2005-05-27,75000000.0,193166575.0,556130620.0
Madagascar,Cedric the Entertainer,2,DW,1964-04-24,1.0,2005-05-27,75000000.0,193166575.0,556130620.0
Madagascar,Chris Rock,1,DW,1965-02-07,1.0,2005-05-27,75000000.0,193166575.0,556130620.0
Madagascar,David Schwimmer,1,DW,1966-11-02,1.0,2005-05-27,75000000.0,193166575.0,556130620.0
Madagascar,Sacha Baron Cohen,1,DW,1971-10-13,1.0,2005-05-27,75000000.0,193166575.0,556130620.0
Madagascar 3: Europe's Most Wanted,Ben Stiller,6,P/DW,1965-11-30,1.0,2012-06-08,145000000.0,216391482.0,746921271.0
Madagascar 3: Europe's Most Wanted,Bryan Cranston,1,P/DW,1956-03-07,1.0,2012-06-08,145000000.0,216391482.0,746921271.0
Madagascar 3: Europe's Most Wanted,Cedric the Entertainer,3,P/DW,1964-04-24,1.0,2012-06-08,145000000.0,216391482.0,746921271.0
Madagascar 3: Europe's Most Wanted,Chris Rock,3,P/DW,1965-02-07,1.0,2012-06-08,145000000.0,216391482.0,746921271.0
Madagascar 3: Europe's Most Wanted,David Schwimmer,2,P/DW,1966-11-02,1.0,2012-06-08,145000000.0,216391482.0,746921271.0
Madagascar 3: Europe's Most Wanted,Frances McDormand,2,P/DW,1957-06-23,0.0,2012-06-08,145000000.0,216391482.0,746921271.0
Madagascar 3: Europe's Most Wanted,Jessica Chastain,1,P/DW,1977-03-24,0.0,2012-06-08,145000000.0,216391482.0,746921271.0
Madagascar 3: Europe's Most Wanted,Sacha Baron Cohen,2,P/DW,1971-10-13,1.0,2012-06-08,145000000.0,216391482.0,746921271.0
Madagascar: Escape 2 Africa,Alec Baldwin,3,P/DW,1958-04-03,1.0,2008-11-07,150000000.0,180010950.0,599516844.0
Madagascar: Escape 2 Africa,Ben Stiller,7,P/DW,1965-11-30,1.0,2008-11-07,150000000.0,180010950.0,599516844.0
Madagascar: Escape 2 Africa,Bernie Mac,2,P/DW,1957-10-05,1.0,2008-11-07,150000000.0,180010950.0,599516844.0
Madagascar: Escape 2 Africa,Cedric the Entertainer,4,P/DW,1964-04-24,1.0,2008-11-07,150000000.0,180010950.0,599516844.0
Madagascar: Escape 2 Africa,Chris Rock,4,P/DW,1965-02-07,1.0,2008-11-07,150000000.0,180010950.0,599516844.0
Madagascar: Escape 2 Africa,David Schwimmer,3,P/DW,1966-11-02,1.0,2008-11-07,150000000.0,180010950.0,599516844.0
Madagascar: Escape 2 Africa,Sacha Baron Cohen,3,P/DW,1971-10-13,1.0,2008-11-07,150000000.0,180010950.0,599516844.0
Madagascar: Escape 2 Africa,Zachary Gordon,-,P/DW,1998-02-15,1.0,2008-11-07,150000000.0,180010950.0,599516844.0
Made,Jamie Harris,-,Art.,1979-06-28,1.0,2001-07-13,5000000.0,5308707.0,5476060.0
Made,Jon Favreau,16,Art.,1966-10-19,1.0,2001-07-13,5000000.0,5308707.0,5476060.0
Made,Vince Vaughn,23,Art.,1970-03-28,1.0,2001-07-13,5000000.0,5308707.0,5476060.0
Made in Dagenham,Rosamund Pike,15,SPC,1979-01-27,0.0,2010-11-19,8000000.0,1095369.0,15644196.0
Made in Dagenham,Sally Hawkins,9,SPC,1976-04-27,0.0,2010-11-19,8000000.0,1095369.0,15644196.0
Made of Honor,Chris Messina,2,Sony,1974-08-11,1.0,2008-05-02,40000000.0,46012734.0,106548738.0
Made of Honor,Michelle Monaghan,7,Sony,1976-03-23,0.0,2008-05-02,40000000.0,46012734.0,106548738.0
