movie,actor,rank,studio,bday,male,release_date,production_budget,domestic_gross,worldwide_gross
(500) Days of Summer,Chloe Moretz,11,FoxS,1997-02-10,0.0,2009-07-17,7500000.0,32391374.0,59101642.0
(500) Days of Summer,Clark Gregg,7,FoxS,1962-04-02,1.0,2009-07-17,7500000.0,32391374.0,59101642.0
(500) Days of Summer,Minka Kelly,-,FoxS,1980-06-24,0.0,2009-07-17,7500000.0,32391374.0,59101642.0
(500) Days of Summer,Zooey Deschanel,10,FoxS,1980-01-17,0.0,2009-07-17,7500000.0,32391374.0,59101642.0
10 Cloverfield Lane,Mary Elizabeth Winstead,4,Par.,1984-11-28,0.0,2016-03-11,5000000.0,69793284.0,101493284.0
102 Dalmatians,Glenn Close,7,BV,1947-03-19,0.0,2000-11-22,85000000.0,66941559.0,66941559.0
102 Dalmatians,Ioan Gruffudd,4,BV,1973-10-06,1.0,2000-11-22,85000000.0,66941559.0,66941559.0
10th & Wolf,Giovanni Ribisi,25,Think,1974-12-17,1.0,2006-08-18,8000000.0,54702.0,143782.0
10th & Wolf,James Marsden,29,Think,1973-09-18,1.0,2006-08-18,8000000.0,54702.0,143782.0
10th & Wolf,Piper Perabo,14,Think,1976-10-31,0.0,2006-08-18,8000000.0,54702.0,143782.0
10th & Wolf,Val Kilmer,32,Think,1959-12-31,1.0,2006-08-18,8000000.0,54702.0,143782.0
12 Rounds,John Cena,4,Fox,1977-04-23,1.0,2009-03-27,20000000.0,12234694.0,17306648.0
12 Years a Slave,Benedict Cumberbatch,8,FoxS,1976-07-19,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Brad Pitt,28,FoxS,1963-12-18,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Chiwetel Ejiofor,6,FoxS,1977-07-10,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Lupita Nyong'o,3,FoxS,1983-03-01,0.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Michael Fassbender,6,FoxS,1977-04-02,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Michael K. Williams,4,FoxS,1966-11-22,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Paul Dano,7,FoxS,1984-06-19,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Paul Giamatti,15,FoxS,1967-06-06,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
127 Hours,James Franco,15,FoxS,1978-04-19,1.0,2010-11-05,18000000.0,18335230.0,60217171.0
13 Hours: The Secret Soldiers of Benghazi,John Krasinski,4,Par.,1979-10-20,1.0,2016-01-15,50000000.0,52853219.0,68053219.0
1408,John Cusack,5,MGM/W,1966-06-28,1.0,2007-06-22,22500000.0,71975611.0,131253353.0
1408,Samuel L. Jackson,23,MGM/W,1948-12-21,1.0,2007-06-22,22500000.0,71975611.0,131253353.0
15 Minutes,Charlize Theron,-,NL,1975-08-07,0.0,2001-03-09,42000000.0,24375436.0,56331864.0
15 Minutes,Kelsey Grammer,5,NL,1955-02-21,1.0,2001-03-09,42000000.0,24375436.0,56331864.0
15 Minutes,Robert DeNiro,45,NL,1943-08-17,1.0,2001-03-09,42000000.0,24375436.0,56331864.0
15 Minutes,Vera Farmiga,8,NL,1973-08-06,0.0,2001-03-09,42000000.0,24375436.0,56331864.0
16 Blocks,Bruce Willis,35,WB,1955-03-19,1.0,2006-03-03,45000000.0,36883539.0,65583539.0
17 Again,Leslie Mann,9,WB (NL),1972-03-26,0.0,2009-04-17,40000000.0,64167069.0,139474906.0
17 Again,Matthew Perry,2,WB (NL),1969-08-19,1.0,2009-04-17,40000000.0,64167069.0,139474906.0
17 Again,Michelle Trachtenberg,2,WB (NL),1985-10-11,0.0,2009-04-17,40000000.0,64167069.0,139474906.0
17 Again,Zac Efron,5,WB (NL),1987-10-18,1.0,2009-04-17,40000000.0,64167069.0,139474906.0
1941,Mickey Rourke,-,Uni.,1952-09-16,1.0,1979-12-14,32000000.0,34175000.0,94875000.0
2 Fast 2 Furious,Eva Mendes,2,Uni.,1974-03-05,0.0,2003-06-06,76000000.0,127120058.0,236410607.0
2 Fast 2 Furious,Michael Ealy,-,Uni.,1973-08-03,1.0,2003-06-06,76000000.0,127120058.0,236410607.0
2 Fast 2 Furious,Paul Walker,6,Uni.,1973-09-12,1.0,2003-06-06,76000000.0,127120058.0,236410607.0
2 Fast 2 Furious,Tyrese Gibson,7,Uni.,1978-12-30,1.0,2003-06-06,76000000.0,127120058.0,236410607.0
2 Guns,Denzel Washington,21,Uni.,1954-12-28,1.0,2013-08-02,61000000.0,75612460.0,132493015.0
2 Guns,James Marsden,12,Uni.,1973-09-18,1.0,2013-08-02,61000000.0,75612460.0,132493015.0
2 Guns,Mark Wahlberg,15,Uni.,1971-06-05,1.0,2013-08-02,61000000.0,75612460.0,132493015.0
2 Guns,Paula Patton,3,Uni.,1975-12-05,0.0,2013-08-02,61000000.0,75612460.0,132493015.0
200 Cigarettes,Ben Affleck,29,Par.,1972-08-15,1.0,1999-02-26,6000000.0,6851636.0,6851636.0
200 Cigarettes,Casey Affleck,13,Par.,1975-08-12,1.0,1999-02-26,6000000.0,6851636.0,6851636.0
200 Cigarettes,Christina Ricci,20,Par.,1980-02-12,0.0,1999-02-26,6000000.0,6851636.0,6851636.0
200 Cigarettes,Kate Hudson,16,Par.,1979-04-19,0.0,1999-02-26,6000000.0,6851636.0,6851636.0
200 Cigarettes,Paul Rudd,21,Par.,1969-04-06,1.0,1999-02-26,6000000.0,6851636.0,6851636.0
2012,Amanda Peet,1,Sony,1972-01-11,0.0,2009-11-13,200000000.0,166112167.0,788408539.0
2012,Chiwetel Ejiofor,2,Sony,1977-07-10,1.0,2009-11-13,200000000.0,166112167.0,788408539.0
2012,Danny Glover,5,Sony,1946-07-22,1.0,2009-11-13,200000000.0,166112167.0,788408539.0
2012,John Cusack,2,Sony,1966-06-28,1.0,2009-11-13,200000000.0,166112167.0,788408539.0
2012,Thandie Newton,3,Sony,1972-11-06,0.0,2009-11-13,200000000.0,166112167.0,788408539.0
2012,Woody Harrelson,5,Sony,1961-07-23,1.0,2009-11-13,200000000.0,166112167.0,788408539.0
2046,Zhang Ziyi,8,SPC,1979-02-09,0.0,2005-08-05,12000000.0,1442337.0,19287484.0
21,Jim Sturgess,1,Sony,1978-05-16,1.0,2008-03-21,35000000.0,81159365.0,157852532.0
21,Josh Gad,2,Sony,1981-02-23,1.0,2008-03-21,35000000.0,81159365.0,157852532.0
21,Kate Bosworth,3,Sony,1983-01-02,0.0,2008-03-21,35000000.0,81159365.0,157852532.0
21,Kevin Spacey,9,Sony,1959-07-26,1.0,2008-03-21,35000000.0,81159365.0,157852532.0
21,Laurence Fishburne,10,Sony,1961-07-30,1.0,2008-03-21,35000000.0,81159365.0,157852532.0
21 Grams,Benicio Del Toro,15,Focus,1967-02-19,1.0,2003-11-21,20000000.0,16248701.0,59667625.0
21 Grams,Melissa Leo,-,Focus,1960-09-14,0.0,2003-11-21,20000000.0,16248701.0,59667625.0
21 Grams,Naomi Watts,11,Focus,1968-09-28,0.0,2003-11-21,20000000.0,16248701.0,59667625.0
21 Grams,Sean Penn,17,Focus,1960-08-17,1.0,2003-11-21,20000000.0,16248701.0,59667625.0
21 Jump Street,Channing Tatum,4,Sony,1980-04-26,1.0,2012-03-16,42000000.0,138447667.0,202812429.0
21 Jump Street,Jake Johnson,-,Sony,1978-05-28,1.0,2012-03-16,42000000.0,138447667.0,202812429.0
21 Jump Street,Johnny Depp,-,Sony,1963-06-09,1.0,2012-03-16,42000000.0,138447667.0,202812429.0
21 Jump Street,Jonah Hill,10,Sony,1983-12-20,1.0,2012-03-16,42000000.0,138447667.0,202812429.0
21 Jump Street,Rob Riggle,3,Sony,1970-04-21,1.0,2012-03-16,42000000.0,138447667.0,202812429.0
21 and Over,Miles Teller,8,Rela.,1987-02-20,1.0,2013-03-01,13000000.0,25682380.0,42195766.0
22 Jump Street,Channing Tatum,2,Sony,1980-04-26,1.0,2014-06-13,50000000.0,191719337.0,331333876.0
22 Jump Street,Jonah Hill,4,Sony,1983-12-20,1.0,2014-06-13,50000000.0,191719337.0,331333876.0
22 Jump Street,Rob Riggle,-,Sony,1970-04-21,1.0,2014-06-13,50000000.0,191719337.0,331333876.0
25th Hour,Anna Paquin,11,BV,1982-07-24,0.0,2002-12-19,4500000.0,13084595.0,25344490.0
25th Hour,Edward Norton,16,BV,1969-08-18,1.0,2002-12-19,4500000.0,13084595.0,25344490.0
25th Hour,Philip Seymour Hoffman,24,BV,1967-07-23,1.0,2002-12-19,4500000.0,13084595.0,25344490.0
25th Hour,Rosario Dawson,16,BV,1979-05-09,0.0,2002-12-19,4500000.0,13084595.0,25344490.0
27 Dresses,James Marsden,11,Fox,1973-09-18,1.0,2008-01-13,30000000.0,76806312.0,160245463.0
27 Dresses,Katherine Heigl,4,Fox,1978-11-24,0.0,2008-01-13,30000000.0,76806312.0,160245463.0
28 Days,Sandra Bullock,22,Sony,1964-07-26,0.0,2000-04-14,43000000.0,37035515.0,62063972.0
28 Days,Viggo Mortensen,9,Sony,1958-10-20,1.0,2000-04-14,43000000.0,37035515.0,62063972.0
28 Weeks Later,Idris Elba,16,FoxA,1972-09-06,1.0,2007-05-11,15000000.0,28637507.0,64231305.0
28 Weeks Later,Imogen Poots,2,FoxA,1989-06-03,0.0,2007-05-11,15000000.0,28637507.0,64231305.0
28 Weeks Later,Jeremy Renner,10,FoxA,1971-01-07,1.0,2007-05-11,15000000.0,28637507.0,64231305.0
28 Weeks Later,Rose Byrne,13,FoxA,1979-07-24,0.0,2007-05-11,15000000.0,28637507.0,64231305.0
3 Days to Kill,Amber Heard,3,Rela.,1986-04-22,0.0,2014-02-21,28000000.0,30697999.0,38959900.0
3 Days to Kill,Hailee Steinfeld,4,Rela.,1996-12-11,0.0,2014-02-21,28000000.0,30697999.0,38959900.0
3 Days to Kill,Kevin Costner,27,Rela.,1955-01-18,1.0,2014-02-21,28000000.0,30697999.0,38959900.0
30 Days of Night,Ben Foster,4,Sony,1980-10-29,1.0,2007-10-19,30000000.0,39568996.0,80276156.0
30 Days of Night,Josh Hartnett,7,Sony,1978-07-21,1.0,2007-10-19,30000000.0,39568996.0,80276156.0
30 Minutes or Less,Aziz Ansari,2,Sony,1983-02-23,1.0,2011-08-12,28000000.0,37053924.0,40966716.0
30 Minutes or Less,Danny McBride,6,Sony,1976-12-29,1.0,2011-08-12,28000000.0,37053924.0,40966716.0
30 Minutes or Less,Jesse Eisenberg,8,Sony,1983-10-05,1.0,2011-08-12,28000000.0,37053924.0,40966716.0
30 Minutes or Less,Nick Swardson,10,Sony,1976-10-09,1.0,2011-08-12,28000000.0,37053924.0,40966716.0
300,Gerard Butler,1,WB,1969-11-13,1.0,2007-03-09,60000000.0,210592590.0,454139586.0
300,Lena Headey,1,WB,1973-10-03,0.0,2007-03-09,60000000.0,210592590.0,454139586.0
300,Michael Fassbender,1,WB,1977-04-02,1.0,2007-03-09,60000000.0,210592590.0,454139586.0
3000 Miles to Graceland,Courteney Cox,9,WB,1964-06-15,0.0,2001-02-23,62000000.0,15738632.0,18708848.0
3000 Miles to Graceland,Kevin Costner,32,WB,1955-01-18,1.0,2001-02-23,62000000.0,15738632.0,18708848.0
3000 Miles to Graceland,Kurt Russell,27,WB,1951-03-17,1.0,2001-02-23,62000000.0,15738632.0,18708848.0
3000 Miles to Graceland,Thomas Haden Church,-,WB,1960-06-17,1.0,2001-02-23,62000000.0,15738632.0,18708848.0
3:10 to Yuma,Ben Foster,3,LGF,1980-10-29,1.0,2007-09-02,48000000.0,53606916.0,71171825.0
3:10 to Yuma,Christian Bale,13,LGF,1974-01-30,1.0,2007-09-02,48000000.0,53606916.0,71171825.0
3:10 to Yuma,Logan Lerman,5,LGF,1992-01-19,1.0,2007-09-02,48000000.0,53606916.0,71171825.0
3:10 to Yuma,Luke Wilson,-,LGF,1971-09-21,1.0,2007-09-02,48000000.0,53606916.0,71171825.0
3:10 to Yuma,Russell Crowe,11,LGF,1964-04-07,1.0,2007-09-02,48000000.0,53606916.0,71171825.0
40 Days and 40 Nights,Josh Hartnett,6,Mira.,1978-07-21,1.0,2002-03-01,17000000.0,37939782.0,95092667.0
40 Days and 40 Nights,Maggie Gyllenhaal,5,Mira.,1977-11-16,0.0,2002-03-01,17000000.0,37939782.0,95092667.0
42,Chadwick Boseman,1,WB,1976-11-29,1.0,2013-04-12,40000000.0,95020213.0,97470701.0
42,Harrison Ford,22,WB,1942-07-13,1.0,2013-04-12,40000000.0,95020213.0,97470701.0
42,Lucas Black,2,WB,1982-11-29,1.0,2013-04-12,40000000.0,95020213.0,97470701.0
47 Ronin,Keanu Reeves,23,Uni.,1964-09-02,1.0,2013-12-25,175000000.0,38362475.0,151659062.0
5 Days of War,Val Kilmer,33,Anch.,1959-12-31,1.0,2011-08-19,12000000.0,17479.0,87793.0
50 First Dates,Adam Sandler,9,Sony,1966-09-09,1.0,2004-02-13,75000000.0,120776832.0,196324496.0
50 First Dates,Drew Barrymore,4,Sony,1975-02-22,0.0,2004-02-13,75000000.0,120776832.0,196324496.0
50 First Dates,Kevin James,-,Sony,1965-04-26,1.0,2004-02-13,75000000.0,120776832.0,196324496.0
50 First Dates,Rob Schneider,3,Sony,1963-10-31,1.0,2004-02-13,75000000.0,120776832.0,196324496.0
50/50,Anna Kendrick,8,Sum.,1985-08-09,0.0,2011-09-30,8000000.0,35014192.0,41332809.0
50/50,Bryce Dallas Howard,6,Sum.,1981-03-02,0.0,2011-09-30,8000000.0,35014192.0,41332809.0
50/50,Seth Rogen,18,Sum.,1982-04-15,1.0,2011-09-30,8000000.0,35014192.0,41332809.0
54,Breckin Meyer,8,Mira.,1974-05-07,1.0,1998-08-28,13000000.0,16574731.0,16574731.0
54,Justin Bartha,-,Mira.,1978-07-21,1.0,1998-08-28,13000000.0,16574731.0,16574731.0
54,Mark Ruffalo,-,Mira.,1967-11-22,1.0,1998-08-28,13000000.0,16574731.0,16574731.0
54,Mike Myers,13,Mira.,1963-05-25,1.0,1998-08-28,13000000.0,16574731.0,16574731.0
54,Neve Campbell,7,Mira.,1973-10-03,0.0,1998-08-28,13000000.0,16574731.0,16574731.0
54,Ryan Phillippe,8,Mira.,1974-09-10,1.0,1998-08-28,13000000.0,16574731.0,16574731.0
8 Heads in a Duffel Bag,David Spade,14,Orion,1964-07-22,1.0,1997-04-18,3000000.0,3559990.0,3959990.0
8 Mile,Anthony Mackie,-,Uni.,1978-09-23,1.0,2002-11-08,41000000.0,116724075.0,245769202.0
8 Mile,Brittany Murphy,2,Uni.,1977-11-10,0.0,2002-11-08,41000000.0,116724075.0,245769202.0
8 Mile,Eminem,1,Uni.,1972-10-17,1.0,2002-11-08,41000000.0,116724075.0,245769202.0
8 Mile,Kim Basinger,2,Uni.,1953-12-08,0.0,2002-11-08,41000000.0,116724075.0,245769202.0
88 Minutes,Al Pacino,29,Sony,1940-04-25,1.0,2008-04-18,30000000.0,16930884.0,32955399.0
8MM,James Gandolfini,5,Sony,1961-09-18,1.0,1999-02-26,40000000.0,36283501.0,96238885.0
8MM,Joaquin Phoenix,7,Sony,1974-10-28,1.0,1999-02-26,40000000.0,36283501.0,96238885.0
8MM,Nicolas Cage,20,Sony,1964-01-07,1.0,1999-02-26,40000000.0,36283501.0,96238885.0
9,Christopher Plummer,7,Focus,1929-12-13,1.0,2009-09-09,30000000.0,31749894.0,48559999.0
9,Elijah Wood,15,Focus,1981-01-28,1.0,2009-09-09,30000000.0,31749894.0,48559999.0
9,Jennifer Connelly,10,Focus,1970-12-12,0.0,2009-09-09,30000000.0,31749894.0,48559999.0
A Beautiful Mind,Christopher Plummer,2,Uni.,1929-12-13,1.0,2001-12-21,78000000.0,170708996.0,317668058.0
A Beautiful Mind,Ed Harris,5,Uni.,1950-11-28,1.0,2001-12-21,78000000.0,170708996.0,317668058.0
A Beautiful Mind,Jennifer Connelly,1,Uni.,1970-12-12,0.0,2001-12-21,78000000.0,170708996.0,317668058.0
A Beautiful Mind,Josh Lucas,1,Uni.,1971-06-20,1.0,2001-12-21,78000000.0,170708996.0,317668058.0
A Beautiful Mind,Paul Bettany,3,Uni.,1971-05-27,1.0,2001-12-21,78000000.0,170708996.0,317668058.0
A Beautiful Mind,Russell Crowe,3,Uni.,1964-04-07,1.0,2001-12-21,78000000.0,170708996.0,317668058.0
A Bridge Too Far,Anthony Hopkins,5,UA,1937-12-31,1.0,1977-06-15,26000000.0,50800000.0,50800000.0
A Bridge Too Far,Michael Caine,7,UA,1933-03-14,1.0,1977-06-15,26000000.0,50800000.0,50800000.0
A Bridge Too Far,Robert Redford,9,UA,1936-08-18,1.0,1977-06-15,26000000.0,50800000.0,50800000.0
A Bridge Too Far,Sean Connery,9,UA,1930-08-25,1.0,1977-06-15,26000000.0,50800000.0,50800000.0
A Bug's Life,Bonnie Hunt,-,BV,1961-09-22,0.0,1998-11-20,45000000.0,162792677.0,363089431.0
A Bug's Life,Hayden Panettiere,-,BV,1989-08-21,0.0,1998-11-20,45000000.0,162792677.0,363089431.0
A Bug's Life,Kevin Spacey,-,BV,1959-07-26,1.0,1998-11-20,45000000.0,162792677.0,363089431.0
A Cinderella Story,Hilary Duff,3,WB,1987-09-28,0.0,2004-07-16,19000000.0,51438175.0,70164105.0
A Cinderella Story,Jennifer Coolidge,3,WB,1961-08-28,0.0,2004-07-16,19000000.0,51438175.0,70164105.0
A Civil Action,James Gandolfini,-,BV,1961-09-18,1.0,1998-12-25,60000000.0,56702901.0,56702901.0
A Civil Action,John Travolta,20,BV,1954-02-18,1.0,1998-12-25,60000000.0,56702901.0,56702901.0
A Civil Action,Kathy Bates,-,BV,1948-06-28,0.0,1998-12-25,60000000.0,56702901.0,56702901.0
A Civil Action,Robert Duvall,13,BV,1931-01-05,1.0,1998-12-25,60000000.0,56702901.0,56702901.0
A Civil Action,Sydney Pollack,-,BV,1934-07-01,1.0,1998-12-25,60000000.0,56702901.0,56702901.0
A Civil Action,William H. Macy,6,BV,1950-03-13,1.0,1998-12-25,60000000.0,56702901.0,56702901.0
A Dangerous Method,Keira Knightley,18,SPC,1985-03-26,0.0,2011-11-23,20000000.0,5702083.0,14807531.0
A Dangerous Method,Michael Fassbender,12,SPC,1977-04-02,1.0,2011-11-23,20000000.0,5702083.0,14807531.0
A Dangerous Method,Viggo Mortensen,19,SPC,1958-10-20,1.0,2011-11-23,20000000.0,5702083.0,14807531.0
A Dog of Flanders,Jon Voight,29,WB,1938-12-29,1.0,1999-08-27,7000000.0,2165637.0,2165637.0
A Few Good Men,"Cuba Gooding, Jr.",-,Col.,1968-01-02,1.0,1992-12-11,33000000.0,140525790.0,235685612.0
A Few Good Men,Demi Moore,2,Col.,1962-11-11,0.0,1992-12-11,33000000.0,140525790.0,235685612.0
A Few Good Men,Jack Nicholson,3,Col.,1937-04-22,1.0,1992-12-11,33000000.0,140525790.0,235685612.0
A Few Good Men,Kevin Bacon,2,Col.,1958-07-08,1.0,1992-12-11,33000000.0,140525790.0,235685612.0
A Few Good Men,Kiefer Sutherland,1,Col.,1966-12-21,1.0,1992-12-11,33000000.0,140525790.0,235685612.0
A Few Good Men,Tom Cruise,7,Col.,1962-07-03,1.0,1992-12-11,33000000.0,140525790.0,235685612.0
A Good Day to Die Hard,Bruce Willis,26,Fox,1955-03-19,1.0,2013-02-14,92000000.0,67349198.0,304249198.0
A Good Day to Die Hard,Jai Courtney,6,Fox,1986-03-15,1.0,2013-02-14,92000000.0,67349198.0,304249198.0
A Good Day to Die Hard,Mary Elizabeth Winstead,-,Fox,1984-11-28,0.0,2013-02-14,92000000.0,67349198.0,304249198.0
A Good Year,Abbie Cornish,8,Fox,1982-08-07,0.0,2006-11-10,35000000.0,7459300.0,42064105.0
A Good Year,Freddie Highmore,7,Fox,1992-02-14,1.0,2006-11-10,35000000.0,7459300.0,42064105.0
A Good Year,Russell Crowe,23,Fox,1964-04-07,1.0,2006-11-10,35000000.0,7459300.0,42064105.0
A Guy Thing,Julia Stiles,11,MGM,1981-03-28,0.0,2003-01-17,20000000.0,15543862.0,17430594.0
A Haunted House,Cedric the Entertainer,11,ORF,1964-04-24,1.0,2013-01-11,2500000.0,40041683.0,59922558.0
A Haunted House,Marlon Wayans,8,ORF,1972-07-23,1.0,2013-01-11,2500000.0,40041683.0,59922558.0
A Haunted House,Nick Swardson,9,ORF,1976-10-09,1.0,2013-01-11,2500000.0,40041683.0,59922558.0
A Haunted House 2,Cedric the Entertainer,19,ORF,1964-04-24,1.0,2014-04-18,4000000.0,17329487.0,21206861.0
A Haunted House 2,Marlon Wayans,15,ORF,1972-07-23,1.0,2014-04-18,4000000.0,17329487.0,21206861.0
A History of Violence,Ed Harris,19,NL,1950-11-28,1.0,2005-09-23,32000000.0,31493782.0,61477797.0
A History of Violence,Maria Bello,10,NL,1967-04-18,0.0,2005-09-23,32000000.0,31493782.0,61477797.0
A History of Violence,Viggo Mortensen,10,NL,1958-10-20,1.0,2005-09-23,32000000.0,31493782.0,61477797.0
A Home at the End of the World,Colin Farrell,24,WIP,1976-05-31,1.0,2004-07-23,6500000.0,1029017.0,1033810.0
A League of Their Own,Tea Leoni,-,Sony,1966-02-25,0.0,1992-07-01,40000000.0,107404544.0,132310685.0
A League of Their Own,Tom Hanks,14,Sony,1956-07-09,1.0,1992-07-01,40000000.0,107404544.0,132310685.0
A Lot Like Love,Ali Larter,11,BV,1976-02-28,0.0,2005-04-22,25000000.0,21835784.0,47835784.0
A Lot Like Love,Amanda Peet,11,BV,1972-01-11,0.0,2005-04-22,25000000.0,21835784.0,47835784.0
A Lot Like Love,Ashton Kutcher,14,BV,1978-02-07,1.0,2005-04-22,25000000.0,21835784.0,47835784.0
A Lot Like Love,Kal Penn,7,BV,1977-04-23,1.0,2005-04-22,25000000.0,21835784.0,47835784.0
A Low Down Dirty Shame,Keenen Ivory Wayans,1,BV,1958-06-08,1.0,1994-11-23,10000000.0,29097256.0,29097256.0
A Man Apart,Timothy Olyphant,8,NL,1968-05-20,1.0,2003-04-04,36000000.0,26500000.0,43797731.0
A Man Apart,Vin Diesel,13,NL,1967-07-18,1.0,2003-04-04,36000000.0,26500000.0,43797731.0
A Mighty Heart,Angelina Jolie,25,ParV,1975-06-04,0.0,2007-06-22,15000000.0,9176787.0,19153568.0
A Mighty Wind,Jennifer Coolidge,8,WB,1961-08-28,0.0,2003-04-16,6000000.0,17583468.0,18504539.0
A Mighty Wind,Parker Posey,7,WB,1968-11-08,0.0,2003-04-16,6000000.0,17583468.0,18504539.0
A Most Violent Year,Albert Brooks,15,A24,1947-07-22,1.0,2014-12-31,20000000.0,5749134.0,6071433.0
A Most Violent Year,David Oyelowo,7,A24,1976-04-01,1.0,2014-12-31,20000000.0,5749134.0,6071433.0
A Most Violent Year,Jessica Chastain,11,A24,1977-03-24,0.0,2014-12-31,20000000.0,5749134.0,6071433.0
A Most Wanted Man,Philip Seymour Hoffman,25,RAtt.,1967-07-23,1.0,2014-07-25,15000000.0,17237855.0,36068890.0
A Most Wanted Man,Rachel McAdams,17,RAtt.,1978-11-17,0.0,2014-07-25,15000000.0,17237855.0,36068890.0
A Most Wanted Man,Willem Dafoe,25,RAtt.,1955-07-22,1.0,2014-07-25,15000000.0,17237855.0,36068890.0
A Night at the Roxbury,Eva Mendes,-,Par.,1974-03-05,0.0,1998-10-02,17000000.0,30324946.0,30324946.0
A Night at the Roxbury,Jennifer Coolidge,-,Par.,1961-08-28,0.0,1998-10-02,17000000.0,30324946.0,30324946.0
A Night at the Roxbury,Michael Clarke Duncan,-,Par.,1957-12-10,1.0,1998-10-02,17000000.0,30324946.0,30324946.0
A Night at the Roxbury,Will Ferrell,19,Par.,1967-07-16,1.0,1998-10-02,17000000.0,30324946.0,30324946.0
A Nightmare on Elm Street,Johnny Depp,24,NL,1963-06-09,1.0,1984-11-09,1800000.0,25504513.0,25504513.0
A Nightmare on Elm Street,Jackie Earle Haley,6,WB (NL),1961-07-14,1.0,2010-04-30,35000000.0,63075011.0,117729621.0
A Nightmare on Elm Street,Katie Cassidy,1,WB (NL),1986-11-25,0.0,2010-04-30,35000000.0,63075011.0,117729621.0
A Nightmare on Elm Street,Kellan Lutz,6,WB (NL),1985-03-15,1.0,2010-04-30,35000000.0,63075011.0,117729621.0
A Nightmare on Elm Street,Rooney Mara,3,WB (NL),1985-04-17,0.0,2010-04-30,35000000.0,63075011.0,117729621.0
A Perfect Getaway,Chris Hemsworth,11,Uni.,1983-08-11,1.0,2009-08-07,14000000.0,15515460.0,22815460.0
A Perfect Getaway,Milla Jovovich,14,Uni.,1975-12-17,0.0,2009-08-07,14000000.0,15515460.0,22815460.0
A Perfect Getaway,Timothy Olyphant,13,Uni.,1968-05-20,1.0,2009-08-07,14000000.0,15515460.0,22815460.0
A Prairie Home Companion,Kevin Kline,19,PicH,1947-10-24,1.0,2006-06-09,10000000.0,20342852.0,26716191.0
A Prairie Home Companion,Lily Tomlin,10,PicH,1939-09-01,0.0,2006-06-09,10000000.0,20342852.0,26716191.0
A Prairie Home Companion,Lindsay Lohan,8,PicH,1986-07-02,0.0,2006-06-09,10000000.0,20342852.0,26716191.0
A Prairie Home Companion,Meryl Streep,35,PicH,1949-06-22,0.0,2006-06-09,10000000.0,20342852.0,26716191.0
A Prairie Home Companion,Tommy Lee Jones,27,PicH,1946-09-15,1.0,2006-06-09,10000000.0,20342852.0,26716191.0
A Prairie Home Companion,Virginia Madsen,11,PicH,1961-09-11,0.0,2006-06-09,10000000.0,20342852.0,26716191.0
A Prairie Home Companion,Woody Harrelson,25,PicH,1961-07-23,1.0,2006-06-09,10000000.0,20342852.0,26716191.0
A Room with a View,Helena Bonham Carter,18,Cinc,1966-05-26,0.0,1986-03-07,3000000.0,20966644.0,20966644.0
A Room with a View,Judi Dench,13,Cinc,1934-12-09,0.0,1986-03-07,3000000.0,20966644.0,20966644.0
A Room with a View,Maggie Smith,9,Cinc,1934-12-28,0.0,1986-03-07,3000000.0,20966644.0,20966644.0
A Scanner Darkly,Keanu Reeves,32,WIP,1964-09-02,1.0,2006-07-07,20000000.0,5501616.0,7405084.0
A Scanner Darkly,"Robert Downey, Jr.",40,WIP,1965-04-04,1.0,2006-07-07,20000000.0,5501616.0,7405084.0
A Scanner Darkly,Winona Ryder,26,WIP,1971-10-29,0.0,2006-07-07,20000000.0,5501616.0,7405084.0
A Scanner Darkly,Woody Harrelson,32,WIP,1961-07-23,1.0,2006-07-07,20000000.0,5501616.0,7405084.0
A Simple Plan,Billy Bob Thornton,16,Par.,1955-08-04,1.0,1998-12-11,17000000.0,16311763.0,16311763.0
A Single Man,Colin Firth,18,Wein.,1960-09-10,1.0,2009-12-11,7000000.0,9176000.0,28142379.0
A Single Man,Ginnifer Goodwin,8,Wein.,1978-05-22,0.0,2009-12-11,7000000.0,9176000.0,28142379.0
A Single Man,Jon Hamm,-,Wein.,1971-03-10,1.0,2009-12-11,7000000.0,9176000.0,28142379.0
A Single Man,Julianne Moore,34,Wein.,1960-12-03,0.0,2009-12-11,7000000.0,9176000.0,28142379.0
A Single Man,Matthew Goode,8,Wein.,1978-04-03,1.0,2009-12-11,7000000.0,9176000.0,28142379.0
A Single Man,Nicholas Hoult,8,Wein.,1989-12-07,1.0,2009-12-11,7000000.0,9176000.0,28142379.0
A Sound of Thunder,Ben Kingsley,41,WB,1943-12-31,1.0,2005-09-02,80000000.0,1900451.0,6300451.0
A Sound of Thunder,David Oyelowo,9,WB,1976-04-01,1.0,2005-09-02,80000000.0,1900451.0,6300451.0
A Thousand Words,Clark Duke,5,P/DW,1985-05-05,1.0,2012-03-09,40000000.0,18450127.0,20790486.0
